id,idiom
6,a bite at the cherry
25,a pot of gold at the end of the rainbow
27,a rolling stone gathers no moss
30,a snake in the grass
32,a snowball's chance in hell
44,achilles' heel
46,acquired taste
71,all roads lead to rome
80,an eye for an eye
81,an offer one can't refuse
89,apples and oranges
94,as cold as ice
95,as easy as pie
99,as pale as death
103,as the crow flies
104,at death's door
114,back to square one
127,be a barrel of laughs
142,beauty is only skin deep
159,big wheel
163,birds of a feather flock together
166,bite the hand that feeds you
196,break the ice
203,bucket list
214,butterflies in the stomach
220,by the book
223,call the shots
225,can’t swing a dead cat in (someplace) without hitting (something)
228,carry the can
233,Cat got your tongue?
238,catch some z's
250,chew the fat
270,cock and bull story
281,cook someone's goose
284,cool as a cucumber
296,crossing the rubicon
300,cry one's eyes out
344,dutch courage
348,early bird catches the worm
352,elbow grease
363,extend an olive branch
367,fall on deaf ears
370,fat cat
373,feeling blue
379,fight tooth and nail
387,five-finger discount
389,flat out like a lizard drinking
429,go under the knife
432,grasping at straws
459,"have one's cake and eat it, too"
464,head in the clouds
470,hit the bullseye
517,just what the doctor ordered
549,loaded for bear
558,make hay while the sun shines
565,miss the mark
574,nail-biter
591,old as the hills
603,over the moon
604,Over-egg the pudding
616,peaches and cream
618,pedal to the metal
633,point the finger
643,pull a rabbit out of a hat
650,puppy love
654,put down roots
665,put your foot in your mouth
677,read the tea leaves
686,ring a bell
692,rock the boat
714,seize the day
718,set the bar (too) high
721,shadow of doubt
733,shoot oneself in the foot
747,sink or swim
754,sleep like a baby
758,slip someone a mickey
759,slippery slope
777,speak your mind
781,spin one's wheels
791,steal someone's thunder
825,take something with a grain of salt
826,take the bull by the horns
828,take the fifth
849,the birds and the bees
854,the icing on the cake
867,the time is ripe
875,third rail
882,throw a wrench into (something)
887,throw someone for a loop
890,tie the knot
906,too many chiefs and not enough indians
913,touch base
947,upset the apple cart
954,waiting in the wings
964,water under the bridge
978,"when it rains, it pours"
983,"where there's smoke, there's fire"
986,white smoke 
990,window dressing
