image_id,target_idiom,annotator_id,response_raw,is_correct
6,a bite at the cherry,A1,bite at the cherry,1
6,a bite at the cherry,A2,a bite at the cherry,1
6,a bite at the cherry,A3,taking a bite at the cherry,1
25,a pot of gold at the end of the rainbow,A1,pot of gold at the end of the rainbow,1
25,a pot of gold at the end of the rainbow,A2,the pot of gold at the end of the rainbow,1
25,a pot of gold at the end of the rainbow,A3,a pot of gold at the rainbow's end,1
27,a rolling stone gathers no moss,A1,rolling stone gathers no moss,1
27,a rolling stone gathers no moss,A2,stone's throw away,0
27,a rolling stone gathers no moss,A3,a rolling stone gathers no moss,1
30,a snake in the grass,A1,snake in the grass,1
30,a snake in the grass,A2,a snake in the grass,1
30,a snake in the grass,A3,the snake in the grass,1
32,a snowball's chance in hell,A1,snowball effect,0
32,a snowball's chance in hell,A2,throwing snowballs,0
32,a snowball's chance in hell,A3,snowed under,0
44,achilles' heel,A1,the achilles heel,1
44,achilles' heel,A2,achilles' heel,1
44,achilles' heel,A3,an achilles heel,1
46,acquired taste,A1,an acquired taste,1
46,acquired taste,A2,acquired taste,1
46,acquired taste,A3,it's an acquired taste,1
71,all roads lead to rome,A1,all roads lead to Rome,1
71,all roads lead to rome,A2,roads lead to Rome,1
71,all roads lead to rome,A3,Rome wasn't built in a day,0
80,an eye for an eye,A1,eye for an eye,1
80,an eye for an eye,A2,an eye for an eye,1
80,an eye for an eye,A3,eye for an eye makes the world blind,1
81,an offer one can't refuse,A1,make an offer,0
81,an offer one can't refuse,A2,on offer,0
81,an offer one can't refuse,A3,special offer,0
89,apples and oranges,A1,comparing apples and oranges,1
89,apples and oranges,A2,apples and oranges,1
89,apples and oranges,A3,like apples and oranges,1
94,as cold as ice,A1,cold as ice,1
94,as cold as ice,A2,as cold as ice,1
94,as cold as ice,A3,it's cold as ice,1
95,as easy as pie,A1,easy as pie,1
95,as easy as pie,A2,as easy as pie,1
95,as easy as pie,A3,it is easy as pie,1
99,as pale as death,A1,pale as death,1
99,as pale as death,A2,as pale as death,1
99,as pale as death,A3,looked pale as death,1
103,as the crow flies,A1,eat crow,0
103,as the crow flies,A2,crow about it,0
103,as the crow flies,A3,stone the crows,0
104,at death's door,A1,standing at death's door,1
104,at death's door,A2,at death's door,1
104,at death's door,A3,is at death's door,1
114,back to square one,A1,go back to square one,1
114,back to square one,A2,back to square one,1
114,back to square one,A3,going back to square one,1
127,be a barrel of laughs,A1,barrel of laughs,1
127,be a barrel of laughs,A2,a barrel of laughs,1
127,be a barrel of laughs,A3,be a barrel of laughs,1
142,beauty is only skin deep,A1,beauty is skin deep,1
142,beauty is only skin deep,A2,beauty is only skin deep,1
