image_id,target_idiom,num_correct,majority_correct
6,a bite at the cherry,3,True
25,a pot of gold at the end of the rainbow,3,True
27,a rolling stone gathers no moss,2,True
30,a snake in the grass,3,True
32,a snowball's chance in hell,0,False
44,achilles' heel,3,True
46,acquired taste,3,True
71,all roads lead to rome,2,True
80,an eye for an eye,3,True
81,an offer one can't refuse,0,False
89,apples and oranges,3,True
94,as cold as ice,3,True
95,as easy as pie,3,True
99,as pale as death,3,True
103,as the crow flies,0,False
104,at death's door,3,True
114,back to square one,3,True
127,be a barrel of laughs,3,True
142,beauty is only skin deep,3,True
159,big wheel,0,False
163,birds of a feather flock together,3,True
166,bite the hand that feeds you,3,True
196,break the ice,2,True
203,bucket list,3,True
214,butterflies in the stomach,0,False
220,by the book,3,True
223,call the shots,3,True
225,can¡¯t swing a dead cat in ,3,True
228,carry the can,3,True
233,Cat got your tongue?,0,False
238,catch some z's,3,True
250,chew the fat,3,True
270,cock and bull story,2,True
281,cook someone's goose,3,True
284,cool as a cucumber,0,False
296,crossing the rubicon,3,True
300,cry one's eyes out,3,True
344,dutch courage,3,True
348,early bird catches the worm,3,True
352,elbow grease,0,False
363,extend an olive branch,3,True
367,fall on deaf ears,3,True
370,fat cat,3,True
373,feeling blue,3,True
379,fight tooth and nail,2,True
387,five-finger discount,0,False
389,flat out like a lizard drinking,3,True
429,go under the knife,3,True
432,grasping at straws,3,True
459,"have one's cake and eat it, too",1,False
464,head in the clouds,0,False
470,hit the bullseye,3,True
517,just what the doctor ordered,3,True
549,loaded for bear,3,True
558,make hay while the sun shines,0,False
565,miss the mark,3,True
574,nail-biter,3,True
591,old as the hills,2,True
603,over the moon,3,True
604,Over-egg the pudding,0,False
616,peaches and cream,3,True
618,pedal to the metal,3,True
633,point the finger,3,True
643,pull a rabbit out of a hat,2,True
650,puppy love,0,False
654,put down roots,3,True
665,put your foot in your mouth,3,True
677,read the tea leaves,3,True
686,ring a bell,0,False
692,rock the boat,3,True
714,seize the day,3,True
718,set the bar (too) high,3,True
721,shadow of doubt,2,True
733,shoot oneself in the foot,3,True
747,sink or swim,0,False
754,sleep like a baby,3,True
758,slip someone a mickey,3,True
759,slippery slope,3,True
777,speak your mind,0,False
781,spin one's wheels,3,True
791,steal someone's thunder,3,True
825,take something with a grain of salt,3,True
826,take the bull by the horns,2,True
828,take the fifth,0,False
849,the birds and the bees,3,True
854,the icing on the cake,3,True
867,the time is ripe,3,True
875,third rail,3,True
882,throw a wrench into (something),0,False
887,throw someone for a loop,3,True
890,tie the knot,3,True
906,too many chiefs and not enough indians,3,True
913,touch base,3,True
947,upset the apple cart,0,False
954,waiting in the wings,3,True
964,water under the bridge,3,True
978,"when it rains, it pours",2,True
983,"where there's smoke, there's fire",3,True
986,white smoke ,1,False
990,window dressing,0,False
